Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
85,28.6
70,28.3
87,28.4
83,28.6
59,28.2
72,28.5
76,28.4
61,28.2
64,28.5
63,28.5
85,28.7
82,28.5
96,28.8
73,28.9
88,28.2
82,28.5
60,28.6
69,28.1
70,26.5
89,26.9
68,26.6
87,26.8
92,26.4
83,26.5
81,26.7
62,27.6
74,28.5
84,28.9
80,28.6
81,28.5
65,28.5
73,28.4
78,28.5
69,28.5
77,28
63,28.3
70,28.5
76,28.4
88,28.7
81,28.6
80,28.5
66,28.5
71,28.6
88,28.6
78,28.7
76,28.7
79,28.6
69,28.3
79,28.5
83,28.6
83,28.2
70,28.5
74,28.5
83,28.3
