Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
82,32.3
110,32.9
93,32.5
82,32.8
96,32.7
96,33.3
97,32.6
91,32.5
105,32.7
75,32.5
89,32.3
105,32.6
107,32.5
78,32.5
100,32.7
106,32.8
92,32.7
96,32.6
95,32.7
98,32.5
106,32.7
100,32.7
88,32.7
93,32.8
109,32.7
111,32.5
100,32.8
84,32.7
90,32.8
103,32.4
101,32.6
104,32.9
86,32.6
100,32.6
99,31.7
88,30.9
95,32.5
95,32.8
89,32.8
85,32.5
120,32.9
100,32.8
99,32.5
105,32.8
104,32.9
107,32.6
108,32.7
106,32.7
117,32.4
120,32.3
87,32.5
108,32.8
95,32.4
107,32.6
97,32.9
98,32.8
