Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
107,35.6
103,36.4
113,36.4
97,35.6
122,35.9
108,36.1
127,35.8
144,36
119,36.3
107,34.8
122,33.5
117,33.8
131,34.1
128,33.8
132,36
121,37
106,35.9
109,36.2
119,36.2
114,36.3
101,36.4
102,36.5
88,36.6
102,36.7
108,36.6
130,36.9
112,36.7
127,36.4
101,36.3
115,34.5
103,33.9
112,34.5
119,54.8
143,43.4
112,36.1
98,36
86,36
134,35.7
104,35.6
108,36.1
114,36.2
110,36.4
134,36.3
121,36.5
122,36
103,35.9
129,36.8
103,36.3
109,36
108,35.9
128,36.2
109,36.1
