Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
96,31.7
82,31.7
101,31.7
95,31.6
110,31.4
100,32.1
94,31.7
81,31.5
83,31.3
91,31.8
107,31.6
86,31.5
96,32
101,31.8
97,31.9
108,31.7
104,32.2
106,31.6
92,31.9
89,32.3
89,31.9
101,32
88,31.8
82,32
95,31.7
115,31.9
111,32.4
97,31.7
114,32.3
108,32.4
94,31.9
123,31.9
91,31.4
93,31.4
87,31.5
99,32.2
94,31.3
99,31.4
87,32
85,31.9
93,31.8
111,32
91,32.1
109,31.9
109,31.7
111,32
100,31.8
99,32.2
102,31.7
104,32
95,31.6
100,31.6
88,31.5
