Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
102,32.9
98,32.9
107,32.9
96,32.7
104,33.4
112,32.5
108,32.7
103,32.7
114,32.6
114,33.4
94,32.8
96,32.5
108,32.5
84,32.8
104,32.9
120,32.9
103,33.2
100,32.6
103,32.7
95,32.6
116,32.9
106,32.8
109,32.9
107,33
93,32.7
111,33.1
107,32.5
118,33.3
98,33
113,33.1
133,33.5
111,33.6
118,33.2
101,33.6
99,32.9
101,33
104,33.2
120,32.9
104,33.1
113,32.9
102,32.9
122,33.1
102,33.5
86,33.1
121,32.6
116,33.3
103,32.9
98,32.8
