Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
58,26.2
47,26.5
58,26.5
69,26.3
55,26.5
55,26.3
63,26.5
45,26.5
64,26.3
66,26.7
60,26.4
46,26.9
50,26.3
55,26
56,26.4
54,26.5
55,26.3
51,26.4
58,26.7
51,26.3
57,26.2
67,26.3
52,26.3
62,26.4
62,26.1
58,26.4
52,26.9
61,26.4
64,25.3
75,24.6
62,24.7
53,24.6
53,24.7
71,24.7
49,24.7
49,25.6
50,25.4
63,25.6
44,24.7
54,24.8
57,25
50,25.4
64,25.7
61,25.3
49,25.6
61,25.2
67,24.7
59,24.6
54,24.5
40,25.6
60,24.5
74,24.8
47,24.8
56,24.5
59,24.8
49,25.1
54,24.9
58,24.8
81,24.6
72,24.8
51,24.8
49,24.6
44,25.1
50,26.3
