Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
88,26.7
91,26.7
100,26.7
91,26.4
82,26.6
96,26.7
96,26.6
87,26.8
81,26.4
111,26.6
93,26.6
113,26.9
103,27
90,26.6
81,25.6
109,24.7
95,25.1
78,24.8
76,24.7
100,24.8
85,24.4
93,24.7
82,26.3
94,26.6
83,26.9
87,26.7
78,26.6
88,26.5
81,26.8
101,26.7
104,26.7
99,26.7
90,26.4
85,26.5
71,26.5
90,26.9
72,26.3
92,26.6
70,26.8
88,26.6
86,26.7
88,26.4
86,26.4
81,26.7
74,26.7
93,26.9
72,26.5
84,26.7
85,26.6
66,26.4
