Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
98,26.6
98,26.5
98,26.9
94,27.3
95,26.4
87,26.9
94,26.7
81,26.5
98,26.4
85,27
99,27
85,26.4
97,26.7
86,26.5
87,26.6
102,26.9
90,26.9
107,26.9
81,27.1
99,26.9
84,26.8
88,26.8
91,26.9
89,27.1
92,27.1
66,26.8
79,27.3
77,27
90,26.8
88,27
91,27
96,27
88,26.8
84,26.9
84,26.8
90,26.8
96,27
79,26.8
79,26.9
88,26.6
96,27.2
93,26.9
81,27.1
93,26.8
85,26.4
76,26.5
98,26.4
100,26.4
101,26.5
77,26.4
