Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
349,63.7
429,63.9
376,63
403,63.4
373,63.2
391,62.9
356,62.6
376,62.7
391,63.3
383,62.7
395,62.5
362,62.2
377,63
375,61.8
359,62.7
368,62.8
365,63.2
403,62.4
391,62.7
380,63.5
368,62.6
383,63.1
363,63
365,61.9
390,63.3
389,62.8
337,62.4
390,63.2
351,62.7
370,62.8
368,62.5
393,62.9
370,63.3
374,63
401,62.8
360,62.4
373,63
362,62.8
368,62.2
403,63
400,63.4
393,62.8
371,63
376,63
369,62.4
371,63
377,62
387,62.5
362,62.3
371,62.7
401,62.9
374,62.2
425,62.6
374,62.7
450,62.5
398,63.1
377,61.8
405,62.2
352,62
368,62.3
363,61.8
340,62.1
347,62.2
366,61.4
370,62.1
375,61.6
373,63.2
358,63.2
362,62.6
369,62.6
