Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
100,28.6
116,28.7
105,28.6
126,28.5
95,28.8
113,28.6
87,28.5
103,28.7
105,28.6
110,28.6
114,28.5
87,28.6
119,29
126,28.5
110,28.4
106,28.7
112,28.5
115,28.8
97,29.1
98,28.6
103,28.5
92,28.7
114,28.5
125,28.8
74,28.5
89,28.8
100,28.5
107,28.9
100,28.5
120,28.8
103,28.4
118,28.6
106,28.8
100,28.8
117,29
100,29
106,29.4
121,29
124,28.3
101,29.7
113,40.7
106,30.5
90,28.5
129,28.8
123,28.6
112,28.6
107,28.4
104,28.9
117,28.9
101,28.7
94,28.8
112,28.7
104,28.5
91,28.7
106,28.3
134,28.5
102,28.8
94,28.1
99,28.4
