Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
260,52.2
299,51.9
321,51.7
304,51.5
273,51.8
282,52
278,51.8
279,51.7
288,51.4
298,51.6
283,52.2
320,51.8
292,51.7
298,51.2
317,51.7
284,51.7
285,52.1
300,52.6
277,51.2
283,51.7
299,51.9
275,51.4
273,51
269,51.4
274,51
298,51.3
282,51.7
271,50.9
292,51.1
271,50.8
298,51.7
296,51.3
281,51.4
275,51.3
282,51.4
262,52.1
297,51.4
263,50.9
275,51.3
270,51.1
301,51.8
284,51
300,51.1
285,51.2
276,51.4
296,51.2
293,51.1
285,51.5
289,51.6
284,51.4
284,51.9
285,51.3
275,51.6
289,51.5
297,51.4
313,51.3
296,51.9
286,52.5
284,53
267,51.3
286,51.4
