Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
68,27
77,27.8
74,28.3
77,28
65,28
67,27.6
73,27.7
66,28.2
65,28.1
68,27.9
73,28.1
70,28.2
63,28.3
78,28.2
68,28.3
76,28.2
69,28.2
69,28.3
85,28.6
79,28.4
63,28.6
79,28.4
77,28.5
95,28.5
81,28.6
66,28.5
84,28.5
66,28.5
96,28.5
71,28.6
73,28.7
71,28.6
66,28
72,28.7
84,28.4
74,28.4
77,28.6
65,28.4
78,28.3
65,28.2
89,28.4
72,28.2
81,28
71,28.2
78,28
81,28.3
66,28
66,28.2
67,28
77,28.3
76,28.3
75,28.5
60,27.7
62,27.8
62,27.8
77,27.7
77,27.5
80,26.8
64,25.9
71,26.2
62,26
76,25.9
72,26.1
78,26.4
76,26.1
80,25.8
75,25.8
77,26
65,25.8
68,25.7
73,25.8
83,25.9
68,26.1
75,25.7
69,25.9
71,26
69,26.3
61,26
